Simulation #34, Parameters: eta = 0.137605 | rho = 0.292499 | v0 = 0.137605s
Step 0 | Order = 0.027586510247230231 | Time = 0s
Step 1000 | Order = 0.035130736372406379 | Time = 0s
Step 2000 | Order = 0.035130736372406379 | Time = 1s
Step 3000 | Order = 0.035130736372406379 | Time = 1s
Step 4000 | Order = 0.035130736372406379 | Time = 2s
Step 5000 | Order = 0.035130736372406379 | Time = 2s
Step 6000 | Order = 0.035130736372406379 | Time = 3s
Step 7000 | Order = 0.035130736372406379 | Time = 3s
Step 8000 | Order = 0.035130736372406386 | Time = 4s
Step 9000 | Order = 0.035130736372406379 | Time = 4s
Step 10000 | Order = 0.035130736372406379 | Time = 5s
Step 11000 | Order = 0.035130736372406379 | Time = 5s
Step 12000 | Order = 0.035130736372406379 | Time = 6s
Step 13000 | Order = 0.035130736372406379 | Time = 6s
Step 14000 | Order = 0.035130736372406379 | Time = 7s
Step 15000 | Order = 0.035130736372406379 | Time = 7s
Step 16000 | Order = 0.035130736372406379 | Time = 8s
Step 17000 | Order = 0.035130736372406379 | Time = 8s
Step 18000 | Order = 0.035130736372406379 | Time = 9s
Step 19000 | Order = 0.035130736372406379 | Time = 9s
Step 20000 | Order = 0.035130736372406379 | Time = 9s
Step 21000 | Order = 0.035130736372406379 | Time = 10s
Step 22000 | Order = 0.035130736372406379 | Time = 10s
Step 23000 | Order = 0.035130736372406379 | Time = 11s
Step 24000 | Order = 0.035130736372406379 | Time = 11s
Step 25000 | Order = 0.035130736372406379 | Time = 12s
Step 26000 | Order = 0.035130736372406379 | Time = 12s
Step 27000 | Order = 0.035130736372406379 | Time = 13s
Step 28000 | Order = 0.035130736372406379 | Time = 13s
Step 29000 | Order = 0.035130736372406379 | Time = 14s
Step 30000 | Order = 0.035130736372406379 | Time = 14s
Step 31000 | Order = 0.035130736372406379 | Time = 15s
Step 32000 | Order = 0.035130736372406379 | Time = 15s
Step 33000 | Order = 0.035130736372406379 | Time = 16s
Step 34000 | Order = 0.035130736372406379 | Time = 16s
Step 35000 | Order = 0.035130736372406379 | Time = 17s
Step 36000 | Order = 0.035130736372406379 | Time = 17s
Step 37000 | Order = 0.035130736372406379 | Time = 18s
Step 38000 | Order = 0.035130736372406379 | Time = 18s
Step 39000 | Order = 0.035130736372406379 | Time = 19s
Step 40000 | Order = 0.035130736372406379 | Time = 19s
Step 41000 | Order = 0.035130736372406379 | Time = 19s
Step 42000 | Order = 0.035130736372406379 | Time = 20s
Step 43000 | Order = 0.035130736372406379 | Time = 20s
Step 44000 | Order = 0.035130736372406379 | Time = 21s
Step 45000 | Order = 0.035130736372406379 | Time = 21s
Step 46000 | Order = 0.035130736372406379 | Time = 22s
Step 47000 | Order = 0.035130736372406379 | Time = 22s
Step 48000 | Order = 0.035130736372406379 | Time = 23s
Step 49000 | Order = 0.035130736372406379 | Time = 23s
Step 50000 | Order = 0.035130736372406379 | Time = 24s
Step 51000 | Order = 0.035130736372406379 | Time = 24s
Step 52000 | Order = 0.035130736372406379 | Time = 25s
Step 53000 | Order = 0.035130736372406379 | Time = 25s
Step 54000 | Order = 0.035130736372406379 | Time = 26s
Step 55000 | Order = 0.035130736372406379 | Time = 26s
Step 56000 | Order = 0.035130736372406379 | Time = 27s
Step 57000 | Order = 0.035130736372406379 | Time = 27s
Step 58000 | Order = 0.035130736372406379 | Time = 28s
Step 59000 | Order = 0.035130736372406379 | Time = 28s
Step 60000 | Order = 0.035130736372406386 | Time = 29s
Step 61000 | Order = 0.035130736372406379 | Time = 29s
Step 62000 | Order = 0.035130736372406379 | Time = 30s
Step 63000 | Order = 0.035130736372406379 | Time = 31s
Step 64000 | Order = 0.035130736372406379 | Time = 31s
Step 65000 | Order = 0.035130736372406386 | Time = 32s
Step 66000 | Order = 0.035130736372406379 | Time = 32s
Step 67000 | Order = 0.035130736372406379 | Time = 33s
Step 68000 | Order = 0.035130736372406379 | Time = 34s
Step 69000 | Order = 0.035130736372406379 | Time = 35s
Step 70000 | Order = 0.035130736372406379 | Time = 35s
Step 71000 | Order = 0.035130736372406379 | Time = 36s
Step 72000 | Order = 0.035130736372406379 | Time = 36s
Step 73000 | Order = 0.035130736372406386 | Time = 37s
Step 74000 | Order = 0.035130736372406379 | Time = 37s
Step 75000 | Order = 0.035130736372406379 | Time = 38s
Step 76000 | Order = 0.035130736372406379 | Time = 38s
Step 77000 | Order = 0.035130736372406379 | Time = 39s
Step 78000 | Order = 0.035130736372406379 | Time = 39s
Step 79000 | Order = 0.035130736372406379 | Time = 40s
Step 80000 | Order = 0.035130736372406379 | Time = 41s
Step 81000 | Order = 0.035130736372406379 | Time = 41s
Step 82000 | Order = 0.035130736372406379 | Time = 42s
Step 83000 | Order = 0.035130736372406379 | Time = 42s
Step 84000 | Order = 0.035130736372406379 | Time = 43s
Step 85000 | Order = 0.035130736372406379 | Time = 43s
Step 86000 | Order = 0.035130736372406379 | Time = 44s
Step 87000 | Order = 0.035130736372406379 | Time = 44s
Step 88000 | Order = 0.035130736372406379 | Time = 45s
Step 89000 | Order = 0.035130736372406379 | Time = 45s
Step 90000 | Order = 0.035130736372406379 | Time = 46s
Step 91000 | Order = 0.035130736372406379 | Time = 46s
Step 92000 | Order = 0.035130736372406379 | Time = 47s
Step 93000 | Order = 0.035130736372406379 | Time = 47s
Step 94000 | Order = 0.035130736372406379 | Time = 48s
Step 95000 | Order = 0.035130736372406379 | Time = 48s
Step 96000 | Order = 0.035130736372406379 | Time = 48s
Step 97000 | Order = 0.035130736372406379 | Time = 49s
Step 98000 | Order = 0.035130736372406379 | Time = 49s
Step 99000 | Order = 0.035130736372406379 | Time = 50s
Step 100000 | Order = 0.035130736372406379 | Time = 50s
